ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
37,4122305,Active,409465,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,Ithaca Avenue,N,82 Street,Baxter Avenue,40.7465090551776,-73.8835246447483,"1,016,523.84259248","211,271.480065808",POINT (-73.883524644748 40.746509055178)
3078,4283131,Active,446438,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,35 Avenue,N,Clearview Expressway,205 Street,40.7668858567576,-73.7822976151034,"1,044,554.07294922","218,748.891620144",POINT (-73.782297615103 40.766885856758)
1665,3091456,Active,318563,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,83 Street,N,4 Avenue,5 Avenue,40.6237774856796,-74.0252712807895,"977,234.746958226","166,536.349719971",POINT (-74.025271280789 40.62377748568)
9904,1443453,Active,106133,3HR Com Mon-Sat 0800-1800,,On Street,Manhattan,West 28 Street,S,8 Avenue,7 Avenue,40.7482003550916,-73.9957802046698,"985,419.222387135","211,866.246264726",POINT (-73.99578020467 40.748200355092)
11146,1433788,Retired,101330,"Rate NOT Available - Please request a NEW PERSO, and Once it is Ready, Please Create a New Report",,On Street,Manhattan,West 45 Street,N,Broadway,8 Avenue,40.7585051558239,-73.9867123959132,"987,931.164541721","215,620.869989067",POINT (-73.986712395913 40.758505155824)
5324,3383118,Inactive,330610,2 HR Pas Mon-Sat 0930-1900,,On Street,Brooklyn,Ralph Avenue,E,Avenue L,Avenue K,40.6253712107028,-73.9177517909302,"1,007,081.37722547","167,126.692699388",POINT (-73.91775179093 40.625371210703)
7309,2143010,Retired,220628,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,East 161 Street,N,Sheridan Avenue,Grand Concourse,40.8268832917753,-73.9222075991784,"1,005,779.28501339","240,542.669226721",POINT (-73.922207599178 40.826883291775)
1442,4181678,Active,415539,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,Ditmars Boulevard,S,31 Street,33 Street,40.775567083724,-73.9100126281096,"1,009,173.48590213","221,849.61803022",POINT (-73.91001262811 40.775567083724)
4298,3063157,Active,311962,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Bedford Avenue,W,Avenue T,Avenue U,40.6001112703999,-73.9467510330439,"999,037.038983464","157,917.613348559",POINT (-73.946751033044 40.6001112704)
6183,3413031,Active,303238,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Avenue P,N,Ocean Pkwy.,East 5 Street,40.6093693242611,-73.9687494873745,"992,926.947529137","161,287.614482567",POINT (-73.968749487374 40.609369324261)
14566,4293150,Active,433955,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,101 Avenue,N,75 Street,Drew Street,40.6794997673151,-73.8629891702299,"1,022,252.14281563","186,866.22375831",POINT (-73.86298917023 40.679499767315)
1213,4152100,Inactive,413066,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,27 Street,W,Queens Place,41 Avenue,40.7517549068402,-73.9384607648662,"1,001,300.40191081","213,167.24497506",POINT (-73.938460764866 40.75175490684)
1226,4072184,Active,415802,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,41 Street,E,34 Avenue,Broadway,40.7583748526734,-73.9183202712712,"1,006,878.38845822","215,583.666979477",POINT (-73.918320271271 40.758374852673)
